Pitch: 16.95 Roll: -169.51 Yaw: -0.50 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 17.00 Roll: -169.61 Yaw: -0.50 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 17.00 Roll: -169.61 Yaw: -0.50 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 17.00 Roll: -169.61 Yaw: -0.51 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 17.00 Roll: -169.61 Yaw: -0.51 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.92 Roll: -169.37 Yaw: -0.51 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.93 Roll: -169.43 Yaw: -0.51 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.94 Roll: -169.48 Yaw: -0.52 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.94 Roll: -169.48 Yaw: -0.52 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.94 Roll: -169.48 Yaw: -0.52 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.94 Roll: -169.48 Yaw: -0.52 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.94 Roll: -169.48 Yaw: -0.52 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.94 Roll: -169.48 Yaw: -0.52 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.94 Roll: -169.48 Yaw: -0.53 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.96 Roll: -169.41 Yaw: -0.53 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.96 Roll: -169.41 Yaw: -0.53 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
Pitch: 16.90 Roll: -169.36 Yaw: -0.54 Velocity X: -0.00 m/s, Y: -0.00 m/s, Z: 0.00 m/s Position X: -0.00 m, Y: 0.00 m, Z: -0.00 m
