Designator,Mid X,Mid Y,Rotation,Layer
BT1,46.101,-79.629,90.0,bottom
C1,51.181,-96.774,270.0,bottom
C2,48.006,-96.774,90.0,bottom
C4,54.991,-84.836,180.0,bottom
C5,54.991,-82.55,180.0,bottom
C6,66.675,-83.566,270.0,bottom
C7,57.9755,-76.708,180.0,bottom
D1,48.641,-76.708,0.0,bottom
J2,55.499,-91.44,270.0,bottom
J3,55.499,-95.25,270.0,bottom
J4,55.499,-87.63,270.0,bottom
J5,55.499,-99.06,270.0,bottom
J6,67.691,-86.614,0.0,top
J8,39.9415,-87.0,180.0,top
R2,50.419,-79.502,0.0,bottom
U1,54.356,-93.599,0.0,top
U4,54.991,-79.248,180.0,bottom
U5,49.657,-90.932,180.0,bottom
U6,49.796,-101.714,0.0,bottom
